Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah
01/02/2015,13225,13275,13275,13150
01/05/2015,13200,13150,13200,13125
01/06/2015,13100,13000,13200,13000
01/07/2015,13125,13050,13200,13050
01/08/2015,12975,13125,13150,12975
01/09/2015,12925,13025,13075,12925
01/12/2015,13000,12925,13000,12800
01/13/2015,13000,13050,13050,12975
01/14/2015,12925,13025,13025,12925
01/15/2015,12950,13025,13050,12950
01/16/2015,12950,13025,13025,12950
01/19/2015,13000,12975,13025,12975
01/20/2015,13025,12975,13050,12925
01/21/2015,13075,13050,13200,13025
01/22/2015,13200,13050,13225,13050
01/23/2015,13325,13225,13400,13225
01/26/2015,13150,13325,13400,13025
01/27/2015,13200,13150,13225,13125
01/28/2015,13275,13175,13325,13150
01/29/2015,13325,13250,13325,13200
01/30/2015,13375,13400,13425,13325
02/02/2015,13350,13350,13375,13250
02/03/2015,13500,13375,13500,13350
02/04/2015,13900,13525,14000,13475
02/05/2015,13700,13900,13925,13375
02/06/2015,13700,13775,13800,13650
02/09/2015,13800,13500,13900,13500
02/10/2015,13750,13875,13900,13650
02/11/2015,13925,13775,13925,13700
02/12/2015,13900,13925,13950,13850
02/13/2015,14025,14000,14250,13975
02/16/2015,14000,14050,14175,14000
02/17/2015,14075,14000,14125,14000
02/18/2015,14075,14200,14550,14000
02/20/2015,14050,14300,14325,14050
02/23/2015,14025,14075,14225,13975
02/24/2015,14050,14050,14075,13925
02/25/2015,14100,14000,14175,14000
02/26/2015,14075,13975,14175,13975
02/27/2015,14100,14000,14150,14000
03/02/2015,14225,14150,14300,14100
03/03/2015,14400,14350,14575,14325
03/04/2015,14425,14500,14575,14375
03/05/2015,14500,14475,14650,14475
03/06/2015,14600,14500,14675,14500
03/09/2015,14375,14400,14475,14100
03/10/2015,14425,14400,14525,14250
03/11/2015,14275,14250,14375,14225
03/12/2015,14200,14225,14275,14150
03/13/2015,14100,14200,14275,14050
03/16/2015,14150,14025,14325,14025
03/17/2015,14100,14275,14300,14100
03/18/2015,14225,14100,14250,14100
03/19/2015,14250,14300,14350,14175
03/20/2015,14325,14175,14475,14175
03/23/2015,14450,14400,14550,14400
03/24/2015,14550,14550,14675,14500
03/25/2015,14625,14550,14750,14500
03/26/2015,14525,14500,14725,14475
03/27/2015,14450,14475,14525,14375
03/30/2015,14500,14450,14650,14450
03/31/2015,14825,14800,14825,14675
04/01/2015,14825,14875,14925,14775
04/02/2015,14800,14925,14925,14725
04/06/2015,15175,14800,15450,14775
04/07/2015,15300,15475,15600,15275
04/08/2015,15025,15075,15150,14900
04/09/2015,15075,15075,15200,14950
04/10/2015,15050,15200,15225,14950
04/13/2015,15025,15050,15075,14975
04/14/2015,14950,15000,15125,14925
04/15/2015,14750,14900,14950,14650
04/16/2015,14900,14800,14925,14675
04/17/2015,14750,14900,14900,14750
04/20/2015,14700,14700,14900,14625
04/21/2015,14900,14725,15000,14700
04/22/2015,14875,14950,14950,14825
04/23/2015,14900,14950,15000,14875
04/24/2015,14900,14900,15000,14850
04/27/2015,14200,14800,14850,14025
04/28/2015,14050,14100,14200,13900
04/29/2015,13500,14000,14000,13200
04/30/2015,13475,13300,13700,12900
05/04/2015,13725,13475,13850,13450
05/05/2015,13850,13750,13925,13675
05/06/2015,13700,13750,13775,13575
05/07/2015,13700,13600,13775,13575
05/08/2015,13775,13750,13875,13675
05/11/2015,13700,13800,13825,13625
05/12/2015,13725,13625,13825,13600
05/13/2015,13725,13650,13800,13650
05/15/2015,13525,13725,13775,13400
05/18/2015,13600,13600,13625,13525
05/19/2015,13650,13625,13850,13550
05/20/2015,13875,13775,14025,13700
05/21/2015,14125,13950,14375,13900
05/22/2015,14350,14250,14500,14100
05/25/2015,14300,14350,14375,14250
05/26/2015,14350,14200,14500,14150
05/27/2015,14250,14350,14400,14250
05/28/2015,14150,14100,14250,14050
05/29/2015,14125,14225,14300,14075
06/01/2015,14125,14000,14125,13950
06/03/2015,13600,14000,14025,13475
06/04/2015,13625,13500,13750,13500
06/05/2015,13650,13450,13700,13450
06/08/2015,13575,13500,13600,13400
06/09/2015,13300,13400,13525,13050
06/10/2015,13325,13300,13600,13050
06/11/2015,13350,13400,13475,13150
06/12/2015,13250,13175,13300,13125
06/15/2015,13300,13300,13325,13225
06/16/2015,13350,13275,13475,13150
06/17/2015,13725,13500,13825,13450
06/18/2015,13625,13700,13700,13500
06/19/2015,13700,13625,13825,13625
06/22/2015,13725,13700,13800,13650
06/23/2015,13675,13725,13750,13675
06/24/2015,13625,13650,13775,13625
06/25/2015,13475,13625,13700,13350
06/26/2015,13550,13450,13750,13300
06/29/2015,13500,13400,13550,13325
06/30/2015,13500,13625,13750,13500
07/01/2015,13500,13600,13650,13500
07/02/2015,13600,13475,13725,13350
07/03/2015,13625,13500,13650,13500
07/06/2015,13600,13575,13650,13500
07/07/2015,13200,13525,13625,13200
07/08/2015,13325,13400,13450,13100
07/09/2015,13250,13150,13250,13050
07/10/2015,13300,13250,13400,13250
07/13/2015,13500,13300,13550,13300
07/14/2015,13600,13550,13650,13500
07/15/2015,13500,13475,13500,13400
07/22/2015,13550,13575,13575,13275
07/23/2015,13750,13600,13900,13525
07/24/2015,13725,13775,13775,13600
07/27/2015,13450,13500,13525,13200
07/28/2015,13000,13200,13225,12900
07/29/2015,12850,13000,13150,12650
07/30/2015,12800,12875,13125,12800
07/31/2015,13100,12950,13150,12850
08/03/2015,13250,12925,13250,12925
08/04/2015,13300,13300,13400,13125
08/05/2015,13700,13300,13850,13225
08/06/2015,13800,13700,13900,13700
08/07/2015,13750,13700,13800,13575
08/10/2015,13850,13650,13850,13575
08/11/2015,13550,13850,13900,13350
08/12/2015,13150,13200,13250,12975
08/13/2015,13200,12850,13225,12850
08/14/2015,13250,13250,13275,13175
08/18/2015,12975,13250,13325,12925
08/19/2015,12700,12850,12950,12650
08/20/2015,12275,12700,12700,12250
08/21/2015,11875,12100,12200,11850
08/24/2015,11300,11400,11850,11000
08/25/2015,11625,11500,11975,11400
08/26/2015,11850,11625,11900,11525
08/27/2015,12600,12150,12750,12150
08/28/2015,12850,12850,12900,12750
08/31/2015,12900,12850,12900,12725
09/01/2015,12575,12850,12850,12500
09/02/2015,12275,12200,12450,12200
09/03/2015,12300,12425,12450,12250
09/04/2015,12250,12275,12275,12175
09/07/2015,11925,12200,12200,11925
09/08/2015,11800,11825,12000,11750
09/09/2015,11925,11900,12025,11900
09/10/2015,11925,11850,12025,11775
09/11/2015,11925,12000,12000,11900
09/14/2015,12100,12000,12125,11925
09/15/2015,11950,12000,12100,11825
09/16/2015,11850,11900,11925,11800
09/17/2015,12225,11950,12225,11925
09/18/2015,12275,12100,12275,12050
09/21/2015,12175,12100,12225,12025
09/22/2015,12150,12050,12200,12050
09/23/2015,11875,11925,12000,11850
09/25/2015,11800,11925,11975,11725
09/28/2015,11475,11750,11750,11450
09/29/2015,11900,11375,11975,11300
09/30/2015,12275,12000,12450,11900
10/01/2015,12000,12300,12500,12000
10/02/2015,11875,12000,12350,11875
10/05/2015,12550,12300,12800,12175
10/06/2015,12950,12600,13075,12600
10/07/2015,13000,13000,13200,12950
10/08/2015,13100,13100,13350,13025
10/09/2015,13200,13325,13425,13200
10/12/2015,13375,13250,13600,13250
10/13/2015,12950,13400,13400,12925
10/15/2015,12975,13000,13150,12925
10/16/2015,12800,13000,13000,12750
10/19/2015,13125,12800,13275,12800
10/20/2015,13200,13275,13300,13150
10/21/2015,13325,13300,13500,13300
10/22/2015,13400,13450,13500,13350
10/23/2015,13475,13775,13775,13425
10/26/2015,13650,13650,13725,13575
10/27/2015,13650,13550,13700,13450
10/28/2015,13575,13425,13725,13425
10/29/2015,13150,13625,13725,13000
10/30/2015,12900,13250,13250,12900
11/02/2015,12775,12800,12900,12675
11/03/2015,13150,12900,13225,12900
11/04/2015,13425,13250,13625,13250
11/05/2015,13550,13500,13725,13325
11/06/2015,13550,13750,13750,13450
11/09/2015,13125,13500,13500,13025
11/10/2015,12925,13000,13250,12925
11/11/2015,12975,12950,13125,12925
11/12/2015,12975,12975,13300,12975
11/13/2015,12925,12900,13025,12900
11/16/2015,12900,12850,12900,12650
11/17/2015,13125,13100,13300,13100
