Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah
01/02/2013,7500,7600,7700,7450
01/03/2013,7850,7500,7900,7500
01/04/2013,7850,7800,7850,7750
01/07/2013,7750,7850,7850,7700
01/08/2013,7650,7750,7800,7600
01/09/2013,7700,7700,7750,7650
01/10/2013,7350,7650,7700,7300
01/11/2013,7300,7350,7500,7300
01/14/2013,7500,7400,7500,7350
01/15/2013,7600,7500,7600,7500
01/16/2013,7650,7550,7650,7500
01/17/2013,7500,7600,7650,7500
01/18/2013,7750,7600,7750,7550
01/21/2013,7700,7750,7800,7650
01/22/2013,7750,7700,7750,7650
01/23/2013,7800,7750,7800,7700
01/25/2013,7800,7800,7850,7700
01/28/2013,7750,7750,7800,7650
01/29/2013,7700,7750,7800,7650
01/30/2013,7600,7750,7750,7550
01/31/2013,7350,7550,7600,7350
02/01/2013,7450,7400,7550,7400
02/04/2013,7600,7500,7650,7500
02/05/2013,7600,7550,7600,7450
02/06/2013,7550,7650,7700,7550
02/07/2013,7650,7600,7700,7600
02/08/2013,7750,7650,7800,7650
02/11/2013,7700,7750,7800,7700
02/12/2013,7750,7700,7800,7650
02/13/2013,7800,7800,7800,7700
02/14/2013,7750,7800,7800,7700
02/15/2013,7750,7750,7750,7700
02/18/2013,7700,7750,7800,7700
02/19/2013,7700,7650,7750,7600
02/20/2013,7750,7700,7750,7650
02/21/2013,7750,7750,7900,7750
02/22/2013,7800,7750,7850,7700
02/25/2013,7850,7850,7900,7800
02/26/2013,7800,7850,7900,7750
02/27/2013,7900,7900,7950,7850
02/28/2013,7950,7950,8000,7850
03/01/2013,8100,8000,8150,7950
03/04/2013,8050,8100,8150,7950
03/05/2013,8100,8050,8150,8000
03/06/2013,8100,8100,8150,8000
03/07/2013,8200,8150,8200,8100
03/08/2013,8300,8200,8300,8200
03/11/2013,8050,8300,8300,8050
03/13/2013,7950,8000,8050,7850
03/14/2013,7750,7950,8000,7750
03/15/2013,7600,7750,7900,7600
03/18/2013,7700,7650,7750,7650
03/19/2013,7650,7750,7800,7650
03/20/2013,7700,7700,7750,7650
03/21/2013,7600,7650,7700,7550
03/22/2013,7500,7500,7650,7500
03/25/2013,7650,7650,7800,7600
03/26/2013,7750,7700,7850,7600
03/27/2013,7950,7800,7950,7800
03/28/2013,7900,7900,7900,7750
04/01/2013,7850,7850,7950,7800
04/02/2013,7950,7900,7950,7850
04/03/2013,7950,8000,8000,7900
04/04/2013,7700,7950,7950,7700
04/05/2013,7650,7750,7850,7650
04/08/2013,7700,7650,7700,7550
04/09/2013,7700,7650,7700,7550
04/10/2013,7550,7700,7700,7550
04/11/2013,7750,7650,7800,7600
04/12/2013,7650,7700,7800,7650
04/15/2013,7600,7700,7700,7550
04/16/2013,7750,7550,7800,7500
04/17/2013,7650,7700,7800,7650
04/18/2013,7750,7650,7750,7650
04/19/2013,7700,7750,7800,7700
04/22/2013,7800,7750,7800,7700
04/23/2013,7750,7800,7800,7700
04/24/2013,7800,7800,7800,7700
04/25/2013,7350,7650,7700,7300
04/26/2013,7200,7250,7350,7200
04/29/2013,7400,7200,7400,7200
04/30/2013,7350,7400,7400,7150
05/01/2013,7350,7350,7350,7200
05/02/2013,7200,7250,7350,7200
05/03/2013,6900,7150,7200,6900
05/06/2013,7000,6900,7100,6900
05/07/2013,7050,7000,7050,6950
05/08/2013,7100,7100,7200,7050
05/10/2013,7200,7100,7250,7100
05/13/2013,6950,7200,7200,6950
05/14/2013,7050,6950,7050,6950
05/15/2013,7050,7050,7200,7050
05/16/2013,7050,7150,7150,7050
05/17/2013,7050,7050,7150,7000
05/20/2013,7200,7100,7300,7100
05/21/2013,7150,7150,7200,7050
05/22/2013,7150,7150,7250,7150
05/23/2013,7050,7150,7200,7000
05/24/2013,7200,7150,7200,7100
05/27/2013,7000,7150,7200,7000
05/28/2013,7450,7000,7500,7000
05/29/2013,7200,7500,7550,7200
05/30/2013,7050,7150,7250,7050
05/31/2013,7050,7150,7200,7050
06/03/2013,7050,7050,7200,7000
06/04/2013,7150,7050,7150,7050
06/05/2013,7100,7100,7100,7000
06/07/2013,6800,7100,7100,6800
06/10/2013,6850,7000,7050,6850
06/11/2013,6650,6800,6950,6650
06/12/2013,7150,6600,7200,6500
06/13/2013,6900,7000,7050,6800
06/14/2013,7050,6800,7050,6800
06/17/2013,6950,7050,7100,6900
06/18/2013,7000,7000,7100,6950
06/19/2013,6850,7000,7000,6800
06/20/2013,6600,6700,6750,6550
06/21/2013,6350,6500,6500,6200
06/24/2013,6300,6350,6500,6250
06/25/2013,6150,6400,6400,6150
06/26/2013,6500,6350,6650,6300
06/27/2013,6700,6700,6900,6700
06/28/2013,7000,6900,7050,6900
07/01/2013,6850,6900,6950,6850
07/02/2013,6700,6950,6950,6650
07/03/2013,6550,6700,6800,6500
07/04/2013,6550,6600,6700,6550
07/05/2013,6750,6650,6800,6600
07/08/2013,6500,6650,6650,6500
07/09/2013,6500,6600,6700,6500
07/10/2013,6500,6450,6650,6400
07/11/2013,6600,6550,6700,6550
07/12/2013,6600,6550,6650,6500
07/15/2013,6650,6650,6700,6600
07/16/2013,6850,6700,6900,6650
07/17/2013,6750,6850,6950,6600
07/18/2013,6650,6650,6800,6500
07/19/2013,6650,6600,6750,6550
07/22/2013,6550,6700,6700,6550
07/23/2013,6700,6600,6700,6550
07/24/2013,6600,6650,6700,6500
07/25/2013,6600,6650,6700,6550
07/26/2013,6450,6650,6650,6350
07/29/2013,6300,6500,6500,6300
07/30/2013,6450,6400,6500,6300
07/31/2013,6500,6500,6500,6300
08/01/2013,6750,6500,6750,6450
08/02/2013,6700,6700,6800,6600
08/12/2013,6450,6700,6750,6450
08/13/2013,6600,6450,6600,6450
08/14/2013,6750,6600,6750,6550
08/15/2013,6500,6600,6650,6450
08/16/2013,6300,6450,6450,6300
08/19/2013,5950,6200,6250,5900
08/20/2013,5950,6000,6100,5800
08/21/2013,5900,6000,6150,5900
08/22/2013,5900,5850,5950,5800
08/23/2013,5850,6000,6050,5800
08/26/2013,5650,5950,5950,5650
08/27/2013,5300,5750,5750,5300
08/28/2013,5600,5150,5600,5100
08/29/2013,5850,5800,6000,5650
08/30/2013,6050,5900,6150,5900
09/02/2013,5900,6100,6100,5750
09/03/2013,5900,5900,5950,5800
09/04/2013,5700,5800,5850,5650
09/05/2013,5550,5700,5750,5500
09/06/2013,5700,5600,5700,5400
09/09/2013,5850,5800,5850,5750
09/10/2013,6350,5900,6400,5900
09/11/2013,6200,6400,6400,6050
09/12/2013,6150,6100,6250,5900
09/13/2013,6200,6050,6250,6050
09/16/2013,6900,6400,6900,6300
09/17/2013,6750,6800,6850,6550
09/18/2013,6750,6650,6800,6600
09/19/2013,7100,7000,7500,7000
09/20/2013,6900,7100,7100,6800
09/23/2013,6850,6800,6850,6700
09/24/2013,6400,6800,6850,6400
09/25/2013,6300,6400,6550,6200
09/26/2013,6400,6350,6550,6350
09/27/2013,6500,6350,6600,6350
09/30/2013,6450,6400,6450,6250
10/01/2013,6350,6350,6500,6300
10/02/2013,6350,6450,6550,6350
10/03/2013,6450,6350,6500,6350
10/04/2013,6400,6450,6450,6300
10/07/2013,6350,6350,6450,6350
10/08/2013,6500,6350,6600,6350
10/09/2013,6550,6500,6600,6450
10/10/2013,6800,6650,6850,6600
10/11/2013,6900,7000,7000,6850
10/16/2013,7000,7000,7050,6900
10/17/2013,6850,7150,7250,6750
