Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah
01/01/2013,1.0395,1.0394,1.0446,1.0385
01/02/2013,1.0503,1.0396,1.0527,1.0375
01/03/2013,1.0464,1.0503,1.053,1.0459
01/04/2013,1.0478,1.0467,1.049,1.0394
01/07/2013,1.0502,1.0471,1.0513,1.0463
01/08/2013,1.0501,1.0504,1.0518,1.0469
01/09/2013,1.0512,1.0503,1.0538,1.0486
01/10/2013,1.0595,1.0514,1.0601,1.0493
01/11/2013,1.0532,1.0597,1.06,1.0528
01/14/2013,1.0564,1.054,1.058,1.0521
01/15/2013,1.0565,1.0568,1.0572,1.0525
01/16/2013,1.0572,1.0566,1.0581,1.0531
01/17/2013,1.0545,1.0574,1.0578,1.0493
01/18/2013,1.0508,1.0546,1.0558,1.0484
01/21/2013,1.0514,1.0513,1.0534,1.0492
01/22/2013,1.0565,1.0517,1.0581,1.0504
01/23/2013,1.0553,1.0566,1.0576,1.0526
01/24/2013,1.045,1.0555,1.0557,1.0443
01/25/2013,1.0422,1.0452,1.0471,1.0401
01/28/2013,1.0416,1.042,1.0432,1.0384
01/29/2013,1.0475,1.0416,1.0478,1.0404
01/30/2013,1.0415,1.0476,1.0477,1.0399
01/31/2013,1.0422,1.0418,1.0454,1.038
02/01/2013,1.0405,1.0423,1.0448,1.036
02/04/2013,1.0436,1.0402,1.0445,1.04
02/05/2013,1.0383,1.0439,1.046,1.0369
02/06/2013,1.0318,1.039,1.0402,1.0295
02/07/2013,1.0277,1.0319,1.0341,1.0272
02/08/2013,1.0317,1.0284,1.0351,1.0255
02/11/2013,1.0254,1.0324,1.0326,1.0249
02/12/2013,1.0305,1.0256,1.0324,1.0225
02/13/2013,1.0369,1.0303,1.037,1.0301
02/14/2013,1.0357,1.0372,1.0372,1.0325
02/15/2013,1.0304,1.0361,1.0376,1.0286
02/18/2013,1.0306,1.0297,1.0318,1.0275
02/19/2013,1.0352,1.0306,1.037,1.0301
02/20/2013,1.0255,1.0357,1.0368,1.0235
02/21/2013,1.0245,1.0256,1.0267,1.0219
02/22/2013,1.0318,1.0246,1.0343,1.0236
02/25/2013,1.0257,1.0303,1.0331,1.0249
02/26/2013,1.0226,1.0258,1.0294,1.02
02/27/2013,1.0231,1.023,1.0248,1.0182
02/28/2013,1.0212,1.0234,1.0292,1.0202
03/01/2013,1.0202,1.0215,1.0244,1.0181
03/04/2013,1.0195,1.0195,1.0208,1.0115
03/05/2013,1.0257,1.0196,1.0265,1.0186
03/06/2013,1.0227,1.0258,1.0301,1.023
03/07/2013,1.0266,1.0234,1.0292,1.0218
03/08/2013,1.023,1.0266,1.0285,1.021
03/11/2013,1.028,1.0208,1.0286,1.0202
03/12/2013,1.0319,1.028,1.0338,1.0266
03/13/2013,1.0296,1.0324,1.0336,1.0282
03/14/2013,1.0382,1.0298,1.0402,1.0287
03/15/2013,1.0404,1.0383,1.0417,1.0361
03/18/2013,1.0401,1.0339,1.0412,1.0338
03/19/2013,1.0364,1.0402,1.0407,1.0349
03/20/2013,1.0374,1.037,1.0406,1.0355
03/21/2013,1.0436,1.0379,1.046,1.0362
03/22/2013,1.0442,1.044,1.0462,1.042
03/25/2013,1.0464,1.0438,1.0482,1.0432
03/26/2013,1.0482,1.0466,1.05,1.0446
03/27/2013,1.0443,1.0484,1.0489,1.0417
03/28/2013,1.0408,1.0444,1.0458,1.0396
03/29/2013,1.0417,1.041,1.0429,1.0402
04/01/2013,1.0423,1.0414,1.0434,1.0385
04/02/2013,1.0446,1.0424,1.0482,1.0419
04/03/2013,1.046,1.045,1.05,1.0444
04/04/2013,1.0434,1.0461,1.0488,1.0385
04/05/2013,1.0374,1.0434,1.044,1.0355
04/08/2013,1.0407,1.038,1.0427,1.0349
04/09/2013,1.0483,1.0412,1.0512,1.0404
04/10/2013,1.054,1.0488,1.0554,1.0475
04/11/2013,1.0544,1.0542,1.0585,1.0501
04/12/2013,1.0505,1.0545,1.0563,1.0479
04/15/2013,1.0311,1.0521,1.0526,1.0289
04/16/2013,1.0388,1.0313,1.04,1.0294
04/17/2013,1.0295,1.0392,1.0396,1.0276
04/18/2013,1.0301,1.0297,1.034,1.0269
04/19/2013,1.027,1.0301,1.0361,1.0274
04/22/2013,1.027,1.0276,1.0309,1.0235
04/23/2013,1.0261,1.0275,1.0279,1.0221
04/24/2013,1.0275,1.0261,1.0298,1.0231
04/25/2013,1.0288,1.028,1.0341,1.0271
04/26/2013,1.0278,1.0292,1.0338,1.0261
04/29/2013,1.0348,1.0276,1.0361,1.027
04/30/2013,1.0369,1.0351,1.0387,1.0328
05/01/2013,1.0276,1.0372,1.0384,1.0264
05/02/2013,1.0244,1.0278,1.0286,1.0221
05/03/2013,1.0314,1.025,1.0326,1.0242
05/06/2013,1.0249,1.0317,1.0317,1.0221
05/07/2013,1.0181,1.0252,1.0258,1.0154
05/08/2013,1.0168,1.0185,1.0212,1.0155
05/09/2013,1.0092,1.0172,1.0255,1.0046
05/10/2013,1.002,1.0095,1.0098,0.996
05/13/2013,0.9951,1.0004,1.0018,0.9939
05/14/2013,0.9888,0.9952,1.0006,0.9875
05/15/2013,0.9896,0.9889,0.9922,0.9853
05/16/2013,0.9807,0.9899,0.9914,0.9797
05/17/2013,0.9723,0.9809,0.9832,0.971
05/20/2013,0.9806,0.9735,0.983,0.9726
05/21/2013,0.9801,0.9809,0.9844,0.9751
05/22/2013,0.9696,0.98,0.9829,0.9661
05/23/2013,0.9751,0.9699,0.9779,0.9594
05/24/2013,0.9645,0.9748,0.9755,0.9635
05/27/2013,0.9631,0.9657,0.9668,0.9615
05/28/2013,0.9614,0.9633,0.9698,0.9596
05/29/2013,0.9633,0.9616,0.9672,0.9528
05/30/2013,0.9658,0.9635,0.9698,0.9583
05/31/2013,0.957,0.9662,0.9687,0.9548
06/03/2013,0.9771,0.9638,0.9795,0.959
06/04/2013,0.9648,0.9772,0.9774,0.9609
06/05/2013,0.9539,0.9651,0.9658,0.9511
06/06/2013,0.9591,0.9541,0.9675,0.9434
06/07/2013,0.949,0.9598,0.9599,0.9429
06/10/2013,0.9462,0.9434,0.9483,0.9392
06/11/2013,0.9424,0.9464,0.9474,0.9326
06/12/2013,0.948,0.9427,0.9566,0.9415
06/13/2013,0.9636,0.9482,0.966,0.9428
06/14/2013,0.9566,0.9639,0.9667,0.9566
06/17/2013,0.9545,0.9541,0.9644,0.9509
06/18/2013,0.9486,0.9548,0.9576,0.9439
06/19/2013,0.9292,0.9487,0.9558,0.9284
06/20/2013,0.9196,0.9293,0.9314,0.9162
06/21/2013,0.9214,0.9198,0.9261,0.9182
06/24/2013,0.9248,0.9218,0.9302,0.9147
06/25/2013,0.9258,0.9249,0.9299,0.9197
06/26/2013,0.9276,0.9261,0.9346,0.9235
06/27/2013,0.927,0.9279,0.9339,0.9261
06/28/2013,0.9136,0.9276,0.9289,0.9112
07/01/2013,0.9238,0.9138,0.9255,0.9109
07/02/2013,0.9142,0.9239,0.9252,0.9129
07/03/2013,0.9084,0.9147,0.9191,0.9038
07/04/2013,0.9142,0.9088,0.9182,0.9073
07/05/2013,0.9062,0.9149,0.9183,0.9046
07/08/2013,0.9133,0.9054,0.9148,0.9041
07/09/2013,0.9175,0.9134,0.9203,0.9083
07/10/2013,0.9169,0.9176,0.9236,0.9093
07/11/2013,0.9186,0.9172,0.9307,0.912
07/12/2013,0.9046,0.9189,0.9194,0.8999
07/15/2013,0.9093,0.9062,0.9124,0.9034
07/16/2013,0.925,0.9099,0.9264,0.9085
07/17/2013,0.9232,0.9253,0.9294,0.9191
07/18/2013,0.9164,0.9237,0.9252,0.9138
07/19/2013,0.9168,0.9169,0.9237,0.9155
07/22/2013,0.9249,0.918,0.9272,0.917
07/23/2013,0.9296,0.925,0.9301,0.9222
07/24/2013,0.9163,0.9297,0.9319,0.9131
07/25/2013,0.9245,0.9164,0.9284,0.9128
07/26/2013,0.9258,0.9247,0.9297,0.9228
07/29/2013,0.9203,0.9262,0.9289,0.9187
07/30/2013,0.9061,0.9206,0.9213,0.9043
07/31/2013,0.898,0.9062,0.9077,0.8939
08/01/2013,0.8923,0.8985,0.8993,0.8907
08/02/2013,0.8897,0.8925,0.8971,0.8874
08/05/2013,0.8929,0.8899,0.8937,0.8848
08/06/2013,0.8986,0.8931,0.9008,0.8906
08/07/2013,0.8998,0.8986,0.9026,0.8919
08/08/2013,0.9102,0.9,0.9136,0.8985
08/09/2013,0.9188,0.9105,0.9217,0.9087
08/12/2013,0.9148,0.9185,0.9222,0.9134
08/13/2013,0.9114,0.9151,0.9151,0.9072
08/14/2013,0.9119,0.9116,0.9161,0.9081
08/15/2013,0.9136,0.9122,0.9191,0.9059
08/16/2013,0.918,0.9141,0.9217,0.9124
08/19/2013,0.9109,0.9178,0.9235,0.9102
08/20/2013,0.9071,0.9109,0.9135,0.9026
08/21/2013,0.897,0.9072,0.9076,0.8964
08/22/2013,0.9006,0.8969,0.9045,0.8932
08/23/2013,0.902,0.9009,0.9052,0.8971
08/26/2013,0.9031,0.9042,0.9072,0.9002
08/27/2013,0.8982,0.903,0.904,0.8932
08/28/2013,0.894,0.8984,0.899,0.8892
08/29/2013,0.8929,0.8942,0.898,0.8916
08/30/2013,0.8896,0.8931,0.896,0.889
09/02/2013,0.8973,0.8941,0.9016,0.8924
09/03/2013,0.9059,0.8978,0.9074,0.8972
09/04/2013,0.9166,0.9063,0.9189,0.9038
09/05/2013,0.9121,0.9173,0.9189,0.9114
09/06/2013,0.9181,0.9122,0.9218,0.9116
09/09/2013,0.9226,0.9203,0.9243,0.9167
09/10/2013,0.9308,0.9228,0.9322,0.9217
09/11/2013,0.9328,0.9312,0.9341,0.9276
09/12/2013,0.9266,0.9329,0.9355,0.9228
09/13/2013,0.9242,0.9271,0.9276,0.9223
09/16/2013,0.9318,0.9262,0.939,0.9257
09/17/2013,0.9353,0.9319,0.9368,0.9286
09/18/2013,0.9517,0.9356,0.9531,0.9335
09/19/2013,0.9437,0.9519,0.9527,0.9426
09/20/2013,0.9393,0.9439,0.9461,0.9377
09/23/2013,0.9429,0.9368,0.9459,0.935
09/24/2013,0.9392,0.943,0.9434,0.9364
09/25/2013,0.9366,0.9391,0.9395,0.9337
09/26/2013,0.936,0.9367,0.9404,0.9339
09/27/2013,0.9315,0.9363,0.9376,0.9297
09/30/2013,0.9312,0.9314,0.9358,0.928
10/01/2013,0.9396,0.9318,0.9438,0.929
10/02/2013,0.9383,0.9397,0.9414,0.9334
10/03/2013,0.9393,0.9386,0.9417,0.9366
10/04/2013,0.9431,0.9396,0.9461,0.9387
10/07/2013,0.9427,0.945,0.9453,0.9388
10/08/2013,0.9418,0.9429,0.9487,0.9411
10/09/2013,0.9439,0.9424,0.9467,0.9413
10/10/2013,0.9451,0.9444,0.9473,0.9389
10/11/2013,0.9463,0.9452,0.9487,0.9434
10/14/2013,0.9487,0.9442,0.9509,0.9412
10/15/2013,0.9525,0.9489,0.955,0.9477
10/16/2013,0.9551,0.9527,0.9559,0.9499
10/17/2013,0.9631,0.9551,0.9649,0.9527
10/18/2013,0.9675,0.9636,0.968,0.9604
10/21/2013,0.9648,0.9669,0.9682,0.9642
10/22/2013,0.9706,0.9658,0.9732,0.9643
10/23/2013,0.9626,0.9708,0.9757,0.9606
10/24/2013,0.962,0.9627,0.9673,0.9571
10/25/2013,0.9579,0.9624,0.9627,0.9571
10/28/2013,0.9568,0.9583,0.9625,0.9555
10/29/2013,0.9474,0.9572,0.9577,0.9471
10/30/2013,0.9478,0.9481,0.9518,0.944
10/31/2013,0.9458,0.9483,0.9528,0.945
11/01/2013,0.9437,0.9459,0.9492,0.9421
11/04/2013,0.9509,0.9442,0.9517,0.9428
11/05/2013,0.9504,0.9511,0.954,0.9462
11/06/2013,0.952,0.9507,0.9545,0.9485
11/07/2013,0.9453,0.9529,0.9531,0.9439
11/08/2013,0.9384,0.9455,0.9482,0.9352
11/11/2013,0.9358,0.9387,0.9396,0.9343
11/12/2013,0.9301,0.9359,0.937,0.9276
11/13/2013,0.9358,0.9303,0.9372,0.9278
11/14/2013,0.9315,0.9359,0.9387,0.928
11/15/2013,0.9368,0.9317,0.9377,0.9304
11/18/2013,0.9376,0.9368,0.9421,0.9357
11/19/2013,0.9433,0.9377,0.9449,0.9352
11/20/2013,0.9334,0.9435,0.9449,0.9315
11/21/2013,0.9233,0.9335,0.9337,0.9199
11/22/2013,0.9166,0.9234,0.9251,0.9142
11/25/2013,0.9158,0.9168,0.919,0.9119
11/26/2013,0.9127,0.9161,0.9207,0.9088
11/27/2013,0.9077,0.9127,0.914,0.9064
11/28/2013,0.9096,0.908,0.9152,0.9074
11/29/2013,0.911,0.9101,0.9142,0.9055
12/02/2013,0.91,0.911,0.9171,0.9088
12/03/2013,0.9136,0.9106,0.9149,0.9057
12/04/2013,0.9025,0.9137,0.9143,0.8998
12/05/2013,0.9062,0.9031,0.9079,0.9002
12/06/2013,0.91,0.9063,0.912,0.899
12/09/2013,0.9112,0.9128,0.9138,0.907
12/10/2013,0.915,0.9111,0.917,0.9078
12/11/2013,0.9048,0.9151,0.9154,0.9045
12/12/2013,0.8933,0.9049,0.9079,0.8915
12/13/2013,0.8962,0.8937,0.897,0.8908
12/16/2013,0.8947,0.8963,0.8972,0.8926
12/17/2013,0.8892,0.8948,0.8959,0.8881
12/18/2013,0.886,0.8899,0.8946,0.883
12/19/2013,0.8866,0.8861,0.8877,0.8823
12/20/2013,0.8921,0.8867,0.8935,0.8854
12/23/2013,0.8934,0.8921,0.896,0.8916
12/24/2013,0.8915,0.8934,0.8942,0.8905
12/25/2013,0.8912,0.8919,0.8933,0.891
12/26/2013,0.889,0.8922,0.893,0.8876
12/27/2013,0.8868,0.8898,0.8931,0.886
12/30/2013,0.8903,0.887,0.8931,0.8832
12/31/2013,0.8913,0.8904,0.8954,0.8897
01/01/2014,0.8882,0.8915,0.8922,0.8879
01/02/2014,0.8905,0.8886,0.8944,0.8842
01/03/2014,0.8943,0.8911,0.9007,0.8884
01/06/2014,0.8962,0.8953,0.8984,0.8934
01/07/2014,0.8925,0.8968,0.8973,0.8894
01/08/2014,0.8901,0.8927,0.8953,0.8895
01/09/2014,0.8895,0.8901,0.8914,0.8865
01/10/2014,0.8993,0.89,0.9007,0.8875
01/13/2014,0.9052,0.9003,0.9089,0.8984
01/14/2014,0.8966,0.9054,0.9061,0.8954
01/15/2014,0.8914,0.8967,0.8972,0.8887
01/16/2014,0.8819,0.8915,0.8919,0.8775
01/17/2014,0.8778,0.8821,0.8829,0.8762
01/20/2014,0.8809,0.8775,0.8823,0.8756
01/21/2014,0.8805,0.8811,0.8838,0.8774
01/22/2014,0.8851,0.8805,0.889,0.8787
01/23/2014,0.8767,0.8852,0.8854,0.8732
01/24/2014,0.8681,0.8769,0.8777,0.866
01/27/2014,0.8735,0.8692,0.8762,0.8677
01/28/2014,0.8776,0.8739,0.8823,0.8725
01/29/2014,0.8739,0.8778,0.8827,0.8724
01/30/2014,0.879,0.8739,0.8803,0.871
01/31/2014,0.8753,0.8793,0.8825,0.8694
02/03/2014,0.8747,0.8753,0.8836,0.8738
02/04/2014,0.8924,0.8754,0.8944,0.873
02/05/2014,0.8904,0.8927,0.8941,0.8872
02/06/2014,0.8954,0.8911,0.8982,0.8908
02/07/2014,0.8955,0.8957,0.9,0.8922
02/10/2014,0.8946,0.8965,0.8965,0.8907
02/11/2014,0.9036,0.8949,0.905,0.894
02/12/2014,0.9024,0.9039,0.9069,0.9006
02/13/2014,0.8977,0.9027,0.9033,0.8926
02/14/2014,0.9028,0.8978,0.9042,0.8967
02/17/2014,0.9031,0.9053,0.907,0.9022
02/18/2014,0.9023,0.9033,0.9081,0.9001
02/19/2014,0.8997,0.9027,0.9047,0.8989
02/20/2014,0.9005,0.9,0.9023,0.8936
02/21/2014,0.8974,0.9006,0.9016,0.8951
02/24/2014,0.9035,0.8983,0.9052,0.8937
02/25/2014,0.9019,0.9035,0.9045,0.9003
02/26/2014,0.8963,0.9019,0.9028,0.8943
02/27/2014,0.8961,0.897,0.8972,0.8904
02/28/2014,0.8926,0.8965,0.8991,0.8914
03/03/2014,0.8936,0.8911,0.8949,0.889
03/04/2014,0.8949,0.8938,0.897,0.8909
03/05/2014,0.8985,0.895,0.8997,0.8942
03/06/2014,0.9085,0.8985,0.9114,0.8972
03/07/2014,0.9071,0.9092,0.9136,0.906
03/10/2014,0.9015,0.9056,0.9065,0.9011
03/11/2014,0.8972,0.902,0.9053,0.896
03/12/2014,0.8985,0.8977,0.8996,0.8924
03/13/2014,0.903,0.8988,0.9106,0.8984
03/14/2014,0.9024,0.9032,0.9052,0.8997
03/17/2014,0.9086,0.9013,0.91,0.8992
03/18/2014,0.9127,0.9088,0.9138,0.9063
03/19/2014,0.904,0.9127,0.914,0.9019
03/20/2014,0.9038,0.9042,0.9055,0.8994
03/21/2014,0.9079,0.9038,0.9103,0.9031
03/24/2014,0.9132,0.909,0.9152,0.9053
03/25/2014,0.9163,0.9133,0.9176,0.9119
03/26/2014,0.9219,0.9166,0.9247,0.9153
03/27/2014,0.9259,0.9226,0.9274,0.9213
03/28/2014,0.9247,0.9262,0.9297,0.9236
03/31/2014,0.9262,0.9248,0.9279,0.9218
04/01/2014,0.9245,0.9264,0.9299,0.9229
04/02/2014,0.9247,0.9246,0.9266,0.9222
04/03/2014,0.9229,0.9248,0.9257,0.9205
04/04/2014,0.9291,0.9231,0.9309,0.9221
04/07/2014,0.927,0.9296,0.9303,0.9253
04/08/2014,0.936,0.9272,0.9369,0.9261
04/09/2014,0.9386,0.9362,0.9401,0.9335
04/10/2014,0.9413,0.9391,0.9464,0.937
04/11/2014,0.9392,0.9413,0.9429,0.9363
04/14/2014,0.942,0.939,0.9428,0.9375
04/15/2014,0.9358,0.9424,0.9427,0.9335
04/16/2014,0.937,0.9362,0.939,0.9331
04/17/2014,0.9325,0.937,0.9392,0.932
04/18/2014,0.9328,0.9329,0.9344,0.9322
04/21/2014,0.9326,0.9335,0.9348,0.9315
04/22/2014,0.9367,0.9328,0.938,0.932
04/23/2014,0.9289,0.9367,0.9379,0.9267
04/24/2014,0.9262,0.929,0.9303,0.9251
04/25/2014,0.9275,0.9265,0.93,0.9253
04/28/2014,0.9257,0.9278,0.9319,0.9243
04/29/2014,0.9268,0.9258,0.9283,0.9227
04/30/2014,0.9283,0.9269,0.9303,0.9251
05/01/2014,0.9274,0.9287,0.9315,0.926
05/02/2014,0.9274,0.9276,0.9282,0.9202
05/05/2014,0.9269,0.9275,0.9317,0.9252
05/06/2014,0.9347,0.9274,0.937,0.9269
05/07/2014,0.9326,0.935,0.9356,0.9318
05/08/2014,0.9368,0.9327,0.9397,0.9318
05/09/2014,0.936,0.9375,0.9381,0.9346
