Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah
01/02/2013,3725,3700,3800,3700
01/03/2013,3725,3750,3775,3700
01/04/2013,3800,3725,3825,3725
01/07/2013,3800,3775,3825,3750
01/08/2013,3875,3800,3875,3800
01/09/2013,3775,3875,3875,3725
01/10/2013,3700,3775,3775,3675
01/11/2013,3675,3700,3725,3650
01/14/2013,3725,3700,3750,3675
01/15/2013,3800,3725,3800,3725
01/16/2013,3750,3800,3800,3700
01/17/2013,3725,3725,3775,3725
01/18/2013,3850,3750,3875,3750
01/21/2013,3850,3800,3850,3775
01/22/2013,3800,3800,3850,3750
01/23/2013,3850,3800,3850,3800
01/25/2013,3875,3850,3900,3850
01/28/2013,3875,3875,3875,3825
01/29/2013,3875,3875,3900,3850
01/30/2013,3900,3875,3900,3850
01/31/2013,3925,3925,3925,3875
02/01/2013,4250,3950,4325,3950
02/04/2013,4225,4275,4275,4100
02/05/2013,4200,4175,4200,4150
02/06/2013,4200,4200,4225,4175
02/07/2013,4275,4200,4300,4175
02/08/2013,4250,4275,4300,4225
02/11/2013,4250,4275,4275,4200
02/12/2013,4250,4225,4275,4225
02/13/2013,4325,4275,4375,4250
02/14/2013,4375,4325,4400,4325
02/15/2013,4400,4375,4400,4350
02/18/2013,4325,4400,4400,4325
02/19/2013,4250,4325,4325,4200
02/20/2013,4250,4300,4300,4225
02/21/2013,4325,4275,4375,4275
02/22/2013,4375,4350,4400,4325
02/25/2013,4375,4400,4400,4325
02/26/2013,4400,4350,4425,4350
02/27/2013,4375,4400,4400,4325
02/28/2013,4600,4400,4625,4400
03/01/2013,4850,4600,4850,4600
03/04/2013,4725,4900,4900,4625
03/05/2013,4725,4700,4775,4700
03/06/2013,4750,4775,4800,4700
03/07/2013,4800,4725,4800,4725
03/08/2013,4775,4800,4875,4725
03/11/2013,4825,4775,4850,4775
03/13/2013,4775,4800,4825,4725
03/14/2013,4675,4750,4750,4650
03/15/2013,4675,4675,4675,4600
03/18/2013,4700,4650,4725,4625
03/19/2013,4800,4700,4800,4700
03/20/2013,4825,4800,4850,4750
03/21/2013,4775,4825,4850,4725
03/22/2013,4525,4825,4825,4475
03/25/2013,4650,4600,4675,4600
03/26/2013,4825,4675,4825,4650
03/27/2013,5000,4825,5100,4825
03/28/2013,5050,5000,5050,4975
04/01/2013,5050,5050,5150,5000
04/02/2013,4925,5000,5100,4900
04/03/2013,4950,4950,4975,4850
04/04/2013,4850,4950,4975,4850
04/05/2013,5050,4900,5050,4875
04/08/2013,4950,5000,5050,4950
04/09/2013,4925,5000,5000,4875
04/10/2013,4875,4950,4975,4875
04/11/2013,4975,4900,5000,4900
04/12/2013,5050,5000,5100,4975
04/15/2013,4975,4975,5050,4950
04/16/2013,5000,4950,5100,4950
04/17/2013,5250,5000,5250,5000
04/18/2013,5250,5200,5300,5150
04/19/2013,5300,5300,5350,5250
04/22/2013,5350,5150,5350,5050
04/23/2013,5300,5350,5350,5200
04/24/2013,5200,5300,5300,5100
04/25/2013,5250,5100,5300,5100
04/26/2013,5350,5300,5350,5150
04/29/2013,5300,5250,5300,5200
04/30/2013,5400,5350,5450,5300
05/01/2013,5550,5400,5600,5350
05/02/2013,5350,5550,5550,5350
05/03/2013,5300,5450,5450,5200
05/06/2013,5300,5300,5350,5200
05/07/2013,5400,5350,5450,5300
05/08/2013,5350,5450,5500,5300
05/10/2013,5400,5400,5450,5350
05/13/2013,5250,5450,5450,5150
05/14/2013,5500,5150,5500,5150
05/15/2013,5400,5500,5500,5300
05/16/2013,5400,5450,5450,5350
05/17/2013,5300,5400,5400,5300
05/20/2013,5400,5350,5450,5300
05/21/2013,5400,5450,5450,5300
05/22/2013,5450,5350,5500,5350
05/23/2013,5250,5400,5400,5150
05/24/2013,5100,5200,5250,5100
05/27/2013,4950,5150,5150,4925
05/28/2013,5050,4950,5100,4925
05/29/2013,5200,5100,5200,5100
05/30/2013,5050,5200,5200,5000
05/31/2013,4875,5050,5050,4875
06/03/2013,4750,4900,4900,4700
06/04/2013,4750,4750,4825,4675
06/05/2013,4800,4700,4800,4700
06/07/2013,4700,4800,4800,4600
06/10/2013,4650,4725,4725,4550
06/11/2013,4500,4600,4600,4250
06/12/2013,4500,4425,4500,4325
06/13/2013,4450,4400,4600,4350
06/14/2013,4700,4550,4775,4550
06/17/2013,4775,4800,4825,4625
06/18/2013,4825,4750,4900,4700
06/19/2013,4700,4850,4850,4700
06/20/2013,4325,4500,4550,4325
06/21/2013,4150,4175,4275,4100
06/24/2013,4100,4150,4200,4050
06/25/2013,4025,4225,4275,3975
06/26/2013,4200,4075,4225,4075
06/27/2013,4275,4300,4325,4250
06/28/2013,4300,4350,4350,4250
07/01/2013,4300,4325,4350,4275
07/02/2013,4150,4275,4300,4125
07/03/2013,4075,4125,4200,4025
07/04/2013,4000,4100,4150,3900
07/05/2013,4075,4050,4075,3975
07/08/2013,3850,4000,4025,3850
07/09/2013,3825,3900,3900,3775
07/10/2013,3925,3875,3975,3800
07/11/2013,4200,3975,4225,3975
07/12/2013,4200,4200,4300,4150
07/15/2013,4175,4200,4200,4100
07/16/2013,4175,4225,4225,4125
07/17/2013,4225,4175,4225,4150
07/18/2013,4325,4250,4325,4250
07/19/2013,4375,4300,4375,4275
07/22/2013,4225,4325,4350,4225
07/23/2013,4350,4225,4425,4225
07/24/2013,4275,4400,4400,4250
07/25/2013,4325,4275,4325,4200
07/26/2013,4400,4325,4400,4300
07/29/2013,4375,4400,4425,4275
07/30/2013,4375,4375,4400,4375
07/31/2013,4275,4400,4400,4250
08/01/2013,4250,4300,4350,4175
08/02/2013,4300,4300,4325,4250
08/12/2013,4300,4300,4375,4250
08/13/2013,4350,4250,4350,4250
08/14/2013,4350,4350,4350,4300
08/15/2013,4300,4350,4350,4275
08/16/2013,4100,4300,4300,4075
08/19/2013,3875,4000,4000,3800
08/20/2013,3700,3800,3800,3450
08/21/2013,3750,3750,3875,3675
08/22/2013,3700,3725,3750,3650
08/23/2013,3675,3750,3800,3650
08/26/2013,3725,3725,3750,3675
08/27/2013,3600,3700,3750,3575
08/28/2013,3675,3500,3725,3375
08/29/2013,3825,3725,3825,3675
08/30/2013,3850,3800,3850,3750
09/02/2013,3550,3800,3850,3550
09/03/2013,3675,3525,3675,3525
09/04/2013,3500,3625,3675,3500
09/05/2013,3500,3550,3625,3400
09/06/2013,3450,3450,3500,3425
09/09/2013,3650,3525,3650,3475
09/10/2013,4100,3725,4175,3700
09/11/2013,4150,4175,4200,4025
