Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah
08/29/2017,4587.5,4386.7,4625.9,4313.5
08/30/2017,4555.1,4587.5,4647.5,4416
08/31/2017,4724.9,4555.1,4745.4,4555.1
09/01/2017,4834.9,4724.9,4885.5,4654.9
09/02/2017,4472.1,4834.9,4939.2,4286.9
09/03/2017,4509.1,4472.1,4714.8,4298.3
09/04/2017,4100.1,4509.1,4527.5,3972.5
09/05/2017,4366.5,4100.1,4485,3603
09/06/2017,4619.8,4366.5,4662.9,4335.3
09/07/2017,4691.6,4619.8,4788.6,4438.2
09/08/2017,4282.8,4691.6,4735.4,4028.9
09/09/2017,4258.8,4282.8,4426.6,4155.4
09/10/2017,4176.9,4258.8,4283,3801
09/11/2017,4208.5,4153.6,4329.3,4098.9
09/12/2017,4163.7,4208.6,4394.6,4040.8
09/13/2017,3944.7,4159.7,4165.4,3760
09/14/2017,3200.1,3944,3993,3169.6
09/15/2017,3700,3189,3853,2817
09/16/2017,3714.9,3674,3938,3470.7
09/17/2017,3700,3685.2,3748.2,3499
09/18/2017,4035,3700,4123.2,3690
09/19/2017,3910,4035,4090,3830.9
09/20/2017,3890,3910,4046.1,3820
09/21/2017,3610,3900,3910,3567
09/22/2017,3595.9,3610,3747.5,3505.6
09/23/2017,3785,3595.9,3817.2,3542.9
09/24/2017,3680,3779.5,3790,3622.8
09/25/2017,3920.8,3660,3979.9,3653.7
09/26/2017,3882.4,3920.8,3977,3850.1
09/27/2017,4193,3882.4,4249.9,3872.8
09/28/2017,4174.5,4193,4300,4101
09/29/2017,4174.7,4174.5,4260,3970
09/30/2017,4378.5,4174.7,4380,4138.1
10/01/2017,4378.5,4378.5,4405.5,4240.4
10/02/2017,4380,4378.5,4561.6,4360
10/03/2017,4310,4380,4440,4182.1
10/04/2017,4208.6,4310,4372.9,4142
10/05/2017,4292.4,4208.6,4354.9,4110
10/06/2017,4369,4319,4417,4292
10/07/2017,4423,4369,4479,4317
10/08/2017,4640,4425,4658,4425
10/09/2017,4787,4640,4890,4560
10/10/2017,4783.1,4780,4950,4718.8
10/11/2017,4821.4,4783.1,4880,4710
10/12/2017,5430,4821.4,5430,4810.2
10/13/2017,5624,5430,5846.2,5391.3
10/14/2017,5855,5650,5899,5580
10/15/2017,5700,5855,5922.3,5400
10/16/2017,5760,5710,5788.9,5585.2
10/17/2017,5595,5760,5775,5519.9
10/18/2017,5547.1,5595,5595,5042.2
10/19/2017,5665,5513,5710,5490.3
10/20/2017,6010,5683.9,6100,5600
10/21/2017,6025,6010,6170.9,5880
10/22/2017,5950,6025,6060,5723.9
10/23/2017,5915.9,5950,6080,5621
10/24/2017,5477,5909.5,5925,5450
10/25/2017,5690,5477,5705,5287
10/26/2017,5879,5690,5940,5650
10/27/2017,5748.5,5861.8,5980,5650.4
10/28/2017,5704,5768.8,5850,5630
10/29/2017,6133,5719.6,6189.9,5648
10/30/2017,6120.5,6170,6248.7,6030
10/31/2017,6463.1,6120.5,6482.8,6100
11/01/2017,6754,6463.1,6768.8,6340.4
11/02/2017,7020,6739,7300,6685.1
11/03/2017,7115,7020,7346.3,6939.9
11/04/2017,7357.1,7115,7481,6919
11/05/2017,7345,7357.3,7590.3,7280
11/06/2017,6960.1,7345.1,7401,6906
11/07/2017,7064,6981.7,7198.5,6960.3
11/08/2017,7313.5,7064,7770,6665
11/09/2017,7080,7303,7392,7020
11/10/2017,6509,7080,7279.9,6255
11/11/2017,6245.8,6507,6797.9,6100
11/12/2017,5849.9,6245,6600,5325
11/13/2017,6472,5811.1,6690,5810
11/14/2017,6575,6466,6685,6320.8
11/15/2017,7250,6592.6,7297.9,6592.6
11/16/2017,7855,7279.5,7940,7076
11/17/2017,7655,7860.1,7988.9,7485
11/18/2017,7761.9,7699.2,7820,7430.5
11/19/2017,8054.1,7761.9,8118,7651
11/20/2017,8212.1,8057.1,8320,7954
11/21/2017,8119.5,8218.5,8398,7801
11/22/2017,8234.6,8119.5,8319,8108.6
11/23/2017,8020,8240,8258.1,8020
11/24/2017,8139,8029.5,8366,7875
11/25/2017,8700,8138,8734.8,8090
11/26/2017,9128,8689.2,9339,8655
11/27/2017,9650,9128.8,9654.3,9128.8
11/28/2017,9896.8,9650,9938,9582
11/29/2017,9640.3,9899,11283.1,8642.7
11/30/2017,9800,9690,10565.9,8851.3
12/01/2017,10775,9830,10863,9380
12/02/2017,10890,10751.1,11190,10651
12/03/2017,11178.9,10889,11820.9,10520.1
12/04/2017,11571,11178.3,11590,10802
12/05/2017,11700,11608.3,11850,11450
12/06/2017,13550,11697,13615.2,11685.6
12/07/2017,16551,13550,16600,13260
12/08/2017,15880,16599,17205,14015
12/09/2017,14689,15880,16208.1,12700
12/10/2017,14866.5,14699,15700,12465
12/11/2017,16540,15090,17413.9,14950.5
12/12/2017,16350,16582.7,16975,15877.4
12/13/2017,16000,16350,16455,14920
12/14/2017,16298,16000,16440,15453.6
12/15/2017,17516.8,16334.9,17990,16334.9
12/16/2017,19111.3,17516.8,19500,17201.2
12/17/2017,18750,19102.7,19767,18525
12/18/2017,18501,18900,19212.2,17100
12/19/2017,17471,18522,18920,16600
12/20/2017,16480.5,17471,17690,15930
12/21/2017,15432,16446.1,17305.7,14220
12/22/2017,13250,15533.1,15694,11050
12/23/2017,13304.2,13250.1,14916,13057
12/24/2017,13459,13250,13795,11641
12/25/2017,13699.3,13520,14220,12797.6
12/26/2017,15688.8,13732.5,16030,13601
12/27/2017,15459.9,15690,16471,14280.5
12/28/2017,14200,15500,15500,13217.7
12/29/2017,14394,14199,14950.5,13897
12/30/2017,12344.8,14308.3,14360,11855.9
12/31/2017,13695.5,12300.1,14011.2,12229.9
01/01/2018,13387,13716.4,13800,12810
01/02/2018,14678.7,13416.8,15265.7,12991
01/03/2018,14919.5,14711,15299.6,14225.2
01/04/2018,15100,14917,15267.8,14100
01/05/2018,16999,15095,17170,14750
01/06/2018,17067,16960.3,17132.2,16167.9
01/07/2018,16180,17090.9,17090.9,15658.5
01/08/2018,14944.2,16200,16287.6,13180
01/09/2018,14360,14900,15404,14073.9
01/10/2018,14885.9,14467.8,14885.9,13300
01/11/2018,13250,14917.1,14917.1,11453
01/12/2018,13717.9,13118.9,14085,12566
01/13/2018,14223,13756,14561,13750
01/14/2018,13477.9,14210.2,14335,12569.9
01/15/2018,13503.9,13478,14243.9,13184.2
01/16/2018,10901,13520.1,13520.1,9050
01/17/2018,10972.6,10870,11677.2,9045
01/18/2018,10970,11042,11860,10440
01/19/2018,11475,10941.1,11794,10400.8
01/20/2018,12783,11470,13036.9,11417.3
01/21/2018,11520.5,12784.9,12790,10988.5
01/22/2018,10758,11545,11920.1,9930
01/23/2018,10799.8,10754,11385,9909
01/24/2018,11390,10798,11555,10501
01/25/2018,11184.8,11350,11774,10960
01/26/2018,11089,11184.7,11640,10323.7
01/27/2018,11500,11089.9,11640,10842.7
01/28/2018,11877.7,11491,12240,11413.3
01/29/2018,11251,11880,11962,11150
01/30/2018,10228.5,11270.4,11302.8,9901
01/31/2018,10281,10237.5,10410,9703.1
02/01/2018,9231.2,10300,10333,8755
02/02/2018,8890.2,9236.7,9242.9,8010.5
02/03/2018,9200,8880.5,9469.6,8235.2
02/04/2018,8182,9200,9359.3,7954
02/05/2018,6919.1,8180,8375,6625
02/06/2018,7666.1,6963.3,7865,6006
02/07/2018,7594.3,7667.1,8470.9,7150
02/08/2018,7784,7585.5,7839,7583
02/09/2018,8690.4,8346,8734.5,8318.7
02/10/2018,8533.3,8683.9,9064,8125
02/11/2018,8064.5,8545,8545,7745
02/12/2018,8905,8072.4,8980.5,8072.4
02/13/2018,8539,8903,8946.7,8351
02/14/2018,9450,8544.3,9484.2,8544.3
02/15/2018,10002.9,9446.9,10210,9316
02/16/2018,10156,10012.6,10300.3,9680
02/17/2018,11040,10152.4,11069.9,10051
02/18/2018,10365.9,11040,11265,10087
02/19/2018,11144.8,10383.4,11246,10282.6
02/20/2018,11195,11155,11785.5,11105.2
02/21/2018,10444.1,11180.5,11298,10201.2
02/22/2018,9811,10427.3,10930,9697.8
02/23/2018,10145,9812,10427,9574
02/24/2018,9694.5,10134.4,10495,9359
02/25/2018,9574.1,9680.2,9843,9279
02/26/2018,10321,9577.8,10440,9355.1
02/27/2018,10564,10318,10860.3,10128
02/28/2018,10335,10577,11095.8,10300
03/01/2018,10918.7,10330,11060,10250
03/02/2018,11031.6,10930,11200,10775
03/03/2018,11464.2,11045,11541.7,11039.4
03/04/2018,11512,11461.9,11564,11065
03/05/2018,11454.3,11512.1,11710,11430.1
03/06/2018,10716.5,11417,11425,10557.1
03/07/2018,9883.3,10716.5,10891.2,9405
03/08/2018,9272,9890,10096,9080.6
03/09/2018,9232,9267.1,9391,8339.8
