Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah
01/02/2013,1794,1814,1835,1774
01/03/2013,1804,1804,1814,1794
01/04/2013,1825,1804,1825,1804
01/07/2013,1845,1825,1865,1825
01/08/2013,1835,1845,1855,1835
01/09/2013,1794,1835,1845,1784
01/10/2013,1794,1794,1804,1764
01/11/2013,1814,1794,1814,1784
01/14/2013,1835,1825,1835,1814
01/15/2013,1895,1835,1895,1835
01/16/2013,1905,1895,1905,1885
01/17/2013,1915,1895,1925,1895
01/18/2013,1965,1925,1965,1915
01/21/2013,1925,1955,1955,1905
01/22/2013,1925,1905,1925,1895
01/23/2013,1925,1925,1945,1885
01/25/2013,1965,1925,1965,1905
01/28/2013,1915,1945,1955,1905
01/29/2013,1935,1945,1965,1915
01/30/2013,1945,1935,1955,1925
01/31/2013,1945,1935,1945,1915
02/01/2013,1935,1945,1965,1935
02/04/2013,1945,1965,1965,1925
02/05/2013,1945,1955,1955,1925
02/06/2013,1965,1965,1965,1945
02/07/2013,1935,1945,1965,1925
02/08/2013,1935,1955,1955,1925
02/11/2013,1935,1935,1945,1925
02/12/2013,1935,1925,1935,1915
02/13/2013,1925,1925,1945,1915
02/14/2013,1955,1925,1965,1915
02/15/2013,1995,1955,2005,1955
02/18/2013,1995,2005,2015,1975
02/19/2013,1985,1995,2015,1975
02/20/2013,1975,1985,2005,1955
02/21/2013,1985,1975,1985,1965
02/22/2013,1975,1975,1985,1955
02/25/2013,1985,1985,1985,1955
02/26/2013,1975,1985,1985,1955
02/27/2013,2035,1995,2075,1985
02/28/2013,2155,2085,2195,2065
03/01/2013,2175,2195,2195,2105
03/04/2013,2105,2145,2185,2095
03/05/2013,2105,2105,2125,2075
03/06/2013,2225,2135,2236,2135
03/07/2013,2125,2175,2175,2105
03/08/2013,2155,2155,2195,2145
03/11/2013,2175,2185,2195,2155
03/13/2013,2175,2195,2236,2155
03/14/2013,2125,2165,2185,2125
03/15/2013,2065,2135,2205,2065
03/18/2013,2105,2065,2115,2055
03/19/2013,2115,2125,2145,2115
03/20/2013,2145,2145,2195,2125
03/21/2013,2155,2185,2225,2125
03/22/2013,2115,2155,2165,2095
03/25/2013,2145,2155,2175,2125
03/26/2013,2175,2155,2195,2135
03/27/2013,2175,2175,2185,2145
03/28/2013,2205,2155,2205,2145
04/01/2013,2155,2205,2225,2145
04/02/2013,2185,2135,2185,2135
04/03/2013,2225,2185,2236,2165
04/04/2013,2175,2215,2225,2175
04/05/2013,2145,2195,2215,2145
04/08/2013,2105,2145,2165,2085
04/09/2013,2165,2135,2175,2125
04/10/2013,2155,2185,2185,2115
04/11/2013,2205,2175,2215,2145
04/12/2013,2236,2225,2256,2215
04/15/2013,2236,2225,2256,2195
04/16/2013,2356,2236,2366,2205
04/17/2013,2406,2366,2506,2356
04/18/2013,2316,2366,2366,2306
04/19/2013,2346,2296,2386,2286
04/22/2013,2406,2386,2466,2386
04/23/2013,2386,2406,2436,2376
04/24/2013,2396,2406,2426,2376
04/25/2013,2366,2406,2406,2306
04/26/2013,2256,2346,2346,2246
04/29/2013,2286,2276,2296,2256
04/30/2013,2346,2296,2356,2296
05/01/2013,2366,2346,2366,2346
05/02/2013,2366,2336,2366,2316
05/03/2013,2266,2346,2366,2266
05/06/2013,2326,2286,2356,2286
05/07/2013,2346,2336,2356,2306
05/08/2013,2366,2326,2366,2326
05/10/2013,2376,2346,2386,2346
05/13/2013,2376,2386,2386,2326
05/14/2013,2376,2366,2386,2346
05/15/2013,2386,2386,2426,2366
05/16/2013,2386,2416,2426,2376
05/17/2013,2396,2386,2416,2386
05/20/2013,2466,2436,2586,2436
05/21/2013,2456,2486,2526,2446
05/22/2013,2476,2436,2496,2436
05/23/2013,2446,2456,2486,2416
05/24/2013,2466,2466,2486,2456
05/27/2013,2446,2466,2466,2416
05/28/2013,2466,2406,2486,2406
05/29/2013,2486,2466,2506,2466
05/30/2013,2376,2406,2436,2376
05/31/2013,2215,2366,2386,2215
06/03/2013,2286,2225,2346,2215
06/04/2013,2276,2286,2336,2236
06/05/2013,2246,2266,2286,2246
06/07/2013,2205,2246,2256,2165
06/10/2013,2105,2205,2236,2075
06/11/2013,2005,2105,2115,1975
06/12/2013,2065,2015,2105,1945
06/13/2013,2045,2055,2135,2015
06/14/2013,2115,2065,2175,2065
06/17/2013,2085,2115,2155,2075
06/18/2013,2175,2095,2225,2095
06/19/2013,2205,2175,2286,2165
06/20/2013,2105,2105,2145,2035
06/21/2013,1995,2005,2075,1975
06/24/2013,2005,2005,2055,1985
06/25/2013,1955,2025,2025,1935
06/26/2013,2055,1985,2085,1905
06/27/2013,2165,2105,2266,2105
06/28/2013,2256,2185,2256,2185
07/01/2013,2185,2205,2256,2175
07/02/2013,2155,2195,2205,2155
07/03/2013,2115,2105,2155,2105
07/04/2013,2185,2165,2246,2155
07/05/2013,2205,2205,2246,2205
07/08/2013,2185,2165,2246,2165
07/09/2013,2205,2225,2276,2205
07/10/2013,2266,2205,2286,2205
07/11/2013,2336,2276,2366,2266
07/12/2013,2376,2346,2446,2346
07/15/2013,2376,2376,2386,2336
07/16/2013,2306,2356,2376,2306
07/17/2013,2266,2306,2316,2246
07/18/2013,2286,2266,2316,2256
07/19/2013,2336,2306,2356,2286
07/22/2013,2356,2406,2406,2336
07/23/2013,2406,2386,2406,2366
07/24/2013,2366,2306,2406,2306
07/25/2013,2346,2366,2376,2326
07/26/2013,2336,2366,2386,2336
07/29/2013,2286,2326,2346,2266
07/30/2013,2356,2286,2376,2276
07/31/2013,2386,2366,2386,2336
08/01/2013,2406,2396,2416,2386
08/02/2013,2406,2446,2446,2406
08/12/2013,2376,2386,2426,2376
08/13/2013,2346,2386,2396,2346
08/14/2013,2386,2356,2386,2346
08/15/2013,2396,2366,2426,2356
08/16/2013,2276,2386,2386,2276
08/19/2013,2125,2175,2205,2105
08/20/2013,2085,2045,2145,1985
08/21/2013,2195,2125,2256,2105
08/22/2013,2135,2125,2185,2125
08/23/2013,2155,2165,2205,2125
08/26/2013,2135,2165,2175,2125
08/27/2013,2025,2125,2135,2005
08/28/2013,2150,2025,2375,1980
08/29/2013,2225,2150,2250,2100
08/30/2013,2200,2200,2250,2150
09/02/2013,2150,2200,2225,2100
09/03/2013,2200,2175,2225,2175
09/04/2013,2100,2150,2200,2075
09/05/2013,2000,2100,2150,1990
09/06/2013,1990,2025,2050,1950
09/09/2013,2075,2025,2100,2025
09/10/2013,2200,2125,2200,2075
09/11/2013,2175,2225,2275,2100
09/12/2013,2225,2150,2250,2150
09/13/2013,2200,2200,2225,2150
09/16/2013,2225,2200,2250,2200
09/17/2013,2250,2225,2275,2200
09/18/2013,2225,2275,2275,2175
09/19/2013,2375,2300,2450,2300
09/20/2013,2325,2300,2375,2300
09/23/2013,2275,2250,2275,2200
