Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah
01/02/2013,93.12,91.78,93.87,91.56
01/03/2013,92.92,92.91,93.3,92.49
01/04/2013,93.09,92.86,93.21,91.52
01/07/2013,93.19,93.21,93.35,92.42
01/08/2013,93.15,93.32,93.8,92.67
01/09/2013,93.1,93.15,93.65,92.68
01/10/2013,93.82,93.19,94.7,93.08
01/11/2013,93.56,93.87,94.13,92.65
01/14/2013,94.14,93.74,94.29,92.95
01/15/2013,93.28,94.2,94.44,93.22
01/16/2013,94.24,93.4,94.36,93.1
01/17/2013,95.49,94.19,96.04,93.8
01/18/2013,95.56,95.19,95.67,94.91
01/22/2013,96.24,95.25,96.38,94.98
01/23/2013,95.23,96.76,96.92,94.95
01/24/2013,95.95,95.5,96.68,95.12
01/25/2013,95.88,95.95,96.56,95.43
01/28/2013,96.44,96.04,96.81,95.47
01/29/2013,97.57,96.46,97.82,96.29
01/30/2013,97.94,97.32,98.24,97.32
01/31/2013,97.49,97.96,98.04,96.84
02/01/2013,97.77,97.42,98.15,96.51
02/04/2013,96.17,97.72,97.76,95.89
02/05/2013,96.64,96.13,97.07,95.91
02/06/2013,96.62,96.64,96.99,95.04
02/07/2013,95.83,96.86,97.21,95.54
02/08/2013,95.72,95.92,96.57,95.27
02/11/2013,97.03,95.79,97.09,94.97
02/12/2013,97.51,96.96,97.79,96.68
02/13/2013,97.01,97.59,98.11,96.63
02/14/2013,97.31,97.17,97.71,96.77
02/15/2013,95.86,97.34,97.47,95.21
02/19/2013,96.66,95.97,96.73,95.25
02/20/2013,94.46,96.66,97.07,93.92
02/21/2013,92.84,94.72,94.92,92.63
02/22/2013,93.13,92.96,93.48,92.44
02/25/2013,93.11,93.23,94.46,92.07
02/26/2013,92.63,91.92,93.44,91.92
02/27/2013,92.76,92.72,93.37,92.18
02/28/2013,92.05,92.89,93.18,91.57
03/01/2013,90.68,91.76,91.97,90.04
03/04/2013,90.12,90.71,90.91,89.33
03/05/2013,90.82,90.23,90.99,90.02
03/06/2013,90.43,90.83,91.17,89.55
03/07/2013,91.56,90.42,91.73,90.22
03/08/2013,91.95,91.42,92.03,90.83
03/11/2013,92.06,91.83,92.15,90.89
03/12/2013,92.54,91.94,93.47,91.6
03/13/2013,92.52,92.62,93.4,91.91
03/14/2013,93.03,92.51,93.25,92.01
03/15/2013,93.45,93.15,93.84,93
03/18/2013,93.74,93.26,93.94,91.76
03/19/2013,92.16,93.8,94.09,92.03
03/20/2013,92.96,92.09,93.28,92.09
03/21/2013,92.45,93.4,93.53,91.84
03/22/2013,93.71,92.33,93.94,92.33
03/25/2013,94.81,93.72,95.65,93.7
03/26/2013,96.34,94.75,96.45,94.67
03/27/2013,96.58,96.18,96.84,95.58
03/28/2013,97.23,96.68,97.35,96.26
04/01/2013,97.07,97.36,97.8,95.92
04/02/2013,97.19,97,97.44,95.91
04/03/2013,94.45,96.93,96.96,94.18
04/04/2013,93.26,94.5,94.84,92.12
04/05/2013,92.7,93.36,93.57,91.91
04/08/2013,93.36,93.02,93.75,92.46
04/09/2013,94.2,93.49,94.48,92.86
04/10/2013,94.64,93.96,94.82,93.4
04/11/2013,93.51,94.56,94.64,93.06
04/12/2013,91.29,93.49,93.52,90.27
04/15/2013,88.71,90.95,90.98,87.2
04/16/2013,88.72,87.42,88.96,86.06
