Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah
01/01/2013,1675.15,1675.26,1676.21,1664.55
01/02/2013,1686.75,1675.03,1695.1,1670.39
01/03/2013,1663.35,1686.54,1690,1660.89
01/04/2013,1656.85,1663.42,1664.42,1626.4
01/07/2013,1647.25,1656.51,1662.71,1642.75
01/08/2013,1659,1647.21,1662.3,1646.64
01/09/2013,1657.9,1658.83,1666.41,1651.45
01/10/2013,1675.25,1657.97,1679.21,1654.1
01/11/2013,1663.05,1675.28,1677.05,1654.05
01/14/2013,1667.2,1661.95,1674.8,1660.04
01/15/2013,1678.9,1666.94,1685.3,1666.44
01/16/2013,1679.5,1678.65,1685.11,1673.55
01/17/2013,1687.64,1679.79,1695.94,1666.94
01/18/2013,1683.95,1687.25,1695.51,1683.6
01/21/2013,1690.05,1684.9,1691.6,1684.9
01/22/2013,1692.1,1690.05,1696.26,1686.64
01/23/2013,1685.75,1692.37,1695.61,1683.45
01/24/2013,1667.74,1686.35,1686.45,1665.08
01/25/2013,1658.69,1667.88,1672.59,1655.78
01/28/2013,1654.95,1658.76,1662.81,1652.54
01/29/2013,1663.85,1655.2,1666.06,1654.3
01/30/2013,1677.1,1663.96,1683.79,1662.79
01/31/2013,1663.6,1677.42,1681.01,1658.15
02/01/2013,1667.15,1664.02,1682.31,1660.35
02/04/2013,1674.4,1667.55,1677.61,1661.79
02/05/2013,1673,1674.21,1684.9,1666.76
02/06/2013,1677.49,1672.62,1679.49,1668.22
02/07/2013,1671.3,1677.71,1683.51,1663.41
02/08/2013,1667.5,1671.72,1673.91,1665.45
02/11/2013,1649.74,1666.93,1669.7,1643.62
02/12/2013,1650.8,1647.94,1653.5,1639.22
02/13/2013,1642.74,1650.85,1653.59,1640.33
02/14/2013,1634.85,1642.84,1650.05,1632.72
02/15/2013,1609.44,1634.53,1636.1,1598.42
02/18/2013,1610.05,1609.95,1619,1607.33
02/19/2013,1604.6,1609.93,1615.34,1600.72
02/20/2013,1562.9,1604.71,1609.82,1558.85
02/21/2013,1576.05,1563.09,1584.88,1554.88
02/22/2013,1580.7,1576,1587.25,1570.16
02/25/2013,1594.24,1581.29,1597.18,1575.18
02/26/2013,1613.49,1593.93,1620.05,1584.6
02/27/2013,1597.6,1613.39,1614.89,1592.33
02/28/2013,1580.14,1597.38,1602.98,1574.72
03/01/2013,1575.24,1580.18,1587.29,1564.83
03/04/2013,1573.95,1579.01,1585.11,1569.65
03/05/2013,1575.44,1573.88,1586.3,1571.72
03/06/2013,1583.69,1575.28,1584.79,1567.53
03/07/2013,1578.9,1583.59,1585.89,1574.94
03/08/2013,1578.35,1579.12,1583.51,1561.41
03/11/2013,1581,1578.4,1583.61,1575.65
03/12/2013,1592.7,1582.01,1598.81,1580.25
03/13/2013,1587.8,1592.91,1599.61,1585.55
03/14/2013,1590.3,1587.9,1593.5,1576.99
03/15/2013,1592.45,1590.41,1598.81,1588.9
03/18/2013,1605.3,1597.26,1611.31,1592.56
03/19/2013,1613.4,1605.41,1615.77,1600.15
03/20/2013,1606.5,1613.5,1615.21,1603.55
03/21/2013,1614.7,1606.58,1616.97,1604.65
03/22/2013,1608.45,1614.7,1616.35,1603.79
03/25/2013,1605.4,1609.3,1613.76,1589.99
03/26/2013,1599.2,1605.6,1606.27,1594.85
03/27/2013,1605.4,1599.31,1608.61,1591.5
03/28/2013,1596.74,1605.76,1607.88,1594.06
04/01/2013,1598.9,1597.74,1601.31,1594.94
04/02/2013,1575.85,1599.6,1604.21,1574
04/03/2013,1557.85,1576.04,1577.41,1550.19
04/04/2013,1553.32,1557.96,1559.87,1540.35
04/05/2013,1582,1553.32,1582.05,1549.34
04/08/2013,1573.7,1581.25,1583.37,1567.55
04/09/2013,1585.2,1572.94,1590.5,1570.44
04/10/2013,1558.75,1584.95,1588.91,1556
04/11/2013,1561.35,1559.3,1568.42,1553.71
04/12/2013,1478.85,1560.69,1564.86,1477.5
04/15/2013,1353.25,1478.3,1495.66,1336.54
04/16/2013,1368.9,1353.86,1402.35,1322.46
04/17/2013,1377,1369.3,1395.1,1365.1
04/18/2013,1391.25,1376.8,1401.96,1340.36
04/19/2013,1404.35,1391.21,1425.01,1386.46
04/22/2013,1426.25,1405.17,1439.77,1404.61
04/23/2013,1413.35,1426.86,1432.42,1406.55
04/24/2013,1431.3,1412.69,1433.4,1411.79
04/25/2013,1467.85,1431.45,1469.46,1427.25
04/26/2013,1463,1467.95,1485.31,1448.69
04/29/2013,1476.65,1464.85,1478.56,1462.45
04/30/2013,1477.1,1475.99,1479.31,1460.99
05/01/2013,1457.6,1476.55,1478.57,1440.6
05/02/2013,1467.1,1457.65,1474.26,1449.3
05/03/2013,1470.7,1467.45,1488.3,1456.4
05/06/2013,1469.5,1470.5,1479.06,1465.1
05/07/2013,1452.6,1470.2,1470.78,1441.72
05/08/2013,1472.8,1452.7,1476.97,1447.9
05/09/2013,1458.2,1473.3,1476.01,1453.7
05/10/2013,1448.2,1458.79,1462.36,1421.11
05/13/2013,1430.55,1448.69,1448.69,1426.34
05/14/2013,1426,1431.1,1445.57,1422.26
05/15/2013,1392.9,1426.5,1430.85,1389.65
05/16/2013,1386.3,1392.71,1398.52,1369.9
05/17/2013,1359.2,1387.39,1392.96,1355.6
05/20/2013,1394.15,1363.09,1399.1,1339.45
05/21/2013,1376.3,1394.75,1401.76,1360.3
05/22/2013,1369.4,1376.95,1415.11,1355.47
05/23/2013,1391.2,1369.2,1397.85,1356.74
05/24/2013,1386.05,1391.2,1398.45,1382.7
05/27/2013,1394.78,1388.15,1396.9,1384.24
05/28/2013,1380.85,1394.24,1400.55,1374.14
05/29/2013,1392.95,1380.79,1395.16,1379.99
05/30/2013,1413.75,1392.95,1418.31,1388.69
05/31/2013,1386.9,1413.75,1421.5,1384.64
06/03/2013,1411.6,1389.09,1416.61,1388.94
06/04/2013,1399.9,1412,1415.62,1389.86
06/05/2013,1403.3,1398.94,1410.51,1395.69
06/06/2013,1413.65,1403.3,1423.66,1391.84
06/07/2013,1384.47,1413.72,1418.03,1377.86
06/10/2013,1386.9,1378.89,1389.06,1376.49
06/11/2013,1379.6,1387.01,1387.12,1367.26
06/12/2013,1388.4,1379.5,1394.87,1374.35
06/13/2013,1386.05,1388.26,1395.27,1374.7
06/14/2013,1390.7,1385.89,1392.11,1378.54
06/17/2013,1384.85,1391.29,1392.11,1380.94
06/18/2013,1368.4,1384.9,1386.16,1361.15
06/19/2013,1351.3,1367.7,1376.02,1349.35
06/20/2013,1278,1351.51,1348.52,1276.8
06/21/2013,1297.25,1278.34,1348.41,1269.39
06/24/2013,1281.9,1297.3,1301.62,1276.35
06/25/2013,1277.35,1282.1,1289.41,1271.92
06/26/2013,1226.35,1278.1,1277.62,1222.91
06/27/2013,1200.75,1226.6,1245.46,1198.06
06/28/2013,1234.25,1200.3,1245.61,1181.82
07/01/2013,1253.3,1233.49,1261.11,1226.31
07/02/2013,1242.5,1253.35,1266.55,1241.8
07/03/2013,1252.3,1242.65,1260.71,1237.05
07/04/2013,1250.3,1251.3,1257.82,1245.4
07/05/2013,1223.8,1249.28,1250.86,1207.99
07/08/2013,1237,1223.21,1239.41,1215.95
07/09/2013,1249.95,1237.4,1261.02,1233.9
07/10/2013,1264.25,1250.5,1266.22,1244.47
07/11/2013,1285.3,1264.8,1298.97,1278.81
07/12/2013,1284.9,1286.67,1288.86,1267.9
07/15/2013,1282.6,1285.45,1294.32,1276.26
07/16/2013,1292.6,1282.3,1295.95,1277.56
07/17/2013,1276,1293,1297.61,1274.21
07/18/2013,1285.1,1276.1,1288.7,1275.05
07/19/2013,1296.35,1285.2,1297.95,1282.55
07/22/2013,1335.9,1297.4,1339.77,1311.76
07/23/2013,1348.1,1335.25,1348.3,1327.15
07/24/2013,1321.3,1347.8,1348.3,1313.55
07/25/2013,1333.65,1321.4,1338.02,1309.35
07/26/2013,1333.9,1333.96,1340.82,1312.82
07/29/2013,1327.6,1333.91,1338.71,1323.32
07/30/2013,1327.3,1328,1330.38,1318.5
07/31/2013,1323.1,1326.9,1338.87,1305.91
08/01/2013,1308.95,1322.7,1330.77,1307.2
08/02/2013,1312,1307.79,1318.4,1283.19
08/05/2013,1303.95,1313.1,1319.91,1297.86
08/06/2013,1281.9,1303.85,1307.27,1279.85
08/07/2013,1287.75,1281.95,1289.42,1273.25
08/08/2013,1312,1287.7,1314.56,1283.85
08/09/2013,1314.5,1312.09,1317,1305.56
08/12/2013,1336.4,1314.6,1343.67,1314.6
08/13/2013,1321.3,1336.9,1341.72,1319.27
08/14/2013,1335.2,1321.4,1337.3,1316.55
08/15/2013,1366.05,1335.19,1369.9,1319.31
08/16/2013,1376.4,1367.3,1380.21,1357.95
08/19/2013,1365.98,1376.35,1384.6,1362.49
08/20/2013,1371.17,1366.39,1376.2,1355.26
08/21/2013,1366.35,1371.8,1378.81,1360.1
08/22/2013,1375.85,1366.5,1381.61,1355.8
08/23/2013,1396.85,1375.79,1400.21,1369.14
08/26/2013,1404.9,1398.88,1404.86,1391.44
08/27/2013,1416.65,1405.16,1424.02,1396.75
08/28/2013,1418.5,1417.1,1434.17,1413.9
08/29/2013,1408.25,1418.05,1418.52,1403.17
08/30/2013,1396.4,1408.55,1411.62,1392.77
09/02/2013,1394.9,1396.46,1398.31,1380.05
09/03/2013,1412.65,1391.6,1416.61,1384.7
09/04/2013,1391.45,1412.1,1415.22,1384.85
09/05/2013,1367.85,1392.1,1399.92,1365.77
09/06/2013,1391.61,1365.72,1393.2,1363.28
09/09/2013,1387.05,1391.45,1391.45,1382.83
09/10/2013,1364.45,1387.95,1391.52,1358.2
09/11/2013,1366.75,1364.25,1368.51,1357.46
09/12/2013,1321.05,1367.4,1367.5,1321.05
09/13/2013,1326.72,1321.36,1331.03,1305.03
09/16/2013,1314,1329.6,1332.92,1304.46
09/17/2013,1309.65,1313.6,1323.92,1306.5
09/18/2013,1365.15,1309.7,1367.77,1291.95
09/19/2013,1365,1365.55,1375.15,1358.8
09/20/2013,1325.38,1366.18,1368.4,1324.86
09/23/2013,1322.15,1326.2,1332.11,1314.26
09/24/2013,1323.2,1321.35,1329.57,1306.51
09/25/2013,1333.6,1322.8,1338.51,1317.11
09/26/2013,1323.7,1333.5,1339.21,1319.15
09/27/2013,1336.2,1323.64,1344.3,1320.43
09/30/2013,1327.55,1335.9,1344.22,1323.56
10/01/2013,1286.6,1327.75,1337.77,1283.2
10/02/2013,1315.25,1286.75,1323.82,1278.85
10/03/2013,1317.3,1316.75,1321.31,1302.42
10/04/2013,1311.35,1317.15,1323.86,1306.56
10/07/2013,1321.79,1311.04,1328.44,1308.81
10/08/2013,1318.8,1321.49,1330.1,1316.3
10/09/2013,1307.2,1319.06,1321.95,1294.65
10/10/2013,1286.24,1307.22,1311.78,1283.03
10/11/2013,1273.11,1286.93,1294.45,1262.63
10/14/2013,1273.4,1272.8,1289.47,1268.8
10/15/2013,1280.8,1273.15,1288.51,1252.27
10/16/2013,1281.6,1280.6,1287.51,1269.57
10/17/2013,1319.7,1282.3,1324.67,1274.8
10/18/2013,1316.24,1319.18,1325.7,1311.95
10/21/2013,1315.75,1316.66,1324.42,1313.56
10/22/2013,1340.65,1315.5,1345.07,1310.45
10/23/2013,1332.35,1340.75,1342.57,1329.8
10/24/2013,1347.15,1332.35,1352.22,1330.6
10/25/2013,1352.13,1346.73,1355.6,1336.54
10/28/2013,1352.2,1353.16,1362.21,1346.5
10/29/2013,1344.3,1352.1,1360.67,1340.87
10/30/2013,1342.8,1344.05,1359.77,1334.81
10/31/2013,1323.8,1343.3,1343.4,1319.4
11/01/2013,1315.35,1323.7,1327.86,1306.3
11/04/2013,1314.74,1315.12,1322.24,1311.74
11/05/2013,1311.6,1314.85,1319.77,1306.75
11/06/2013,1318.4,1311.97,1322.31,1309.45
11/07/2013,1307.95,1318.16,1325.71,1298.71
11/08/2013,1288.2,1307.84,1313.06,1281.4
11/11/2013,1283.28,1288.76,1288.91,1279.39
11/12/2013,1267.99,1283.07,1285.3,1261.28
11/13/2013,1278.99,1267.58,1279.24,1265.89
11/14/2013,1287.39,1278.67,1294.38,1278.53
11/15/2013,1290.05,1287.04,1291.14,1280.42
11/18/2013,1274.35,1290.45,1290.61,1270.35
11/19/2013,1275.25,1274.71,1279.02,1269.3
11/20/2013,1243.2,1275.62,1276.67,1241.3
