No;Date;Open;High;Low;Close;Volume;;;
1;Jan 04, 2021;1.912,20;1.945,10;1.912,20;1.944,70;154,00;;;
2;Jan 05, 2021;1.941,70;1.952,70;1.941,30;1.952,70;113,00;;;
3;Jan 06, 2021;1.952,00;1.959,90;1.901,50;1.906,90;331,00;;;
4;Jan 07, 2021;1.922,60;1.926,70;1.912,00;1.912,30;122,00;;;
5;Jan 08, 2021;1.908,00;1.908,00;1.834,10;1.834,10;60,00;;;
6;Jan 11, 2021;1.826,50;1.849,60;1.826,50;1.849,60;20,00;;;
7;Jan 12, 2021;1.849,00;1.859,70;1.839,40;1.842,90;176,00;;;
8;Jan 13, 2021;1.858,00;1.858,60;1.853,60;1.853,60;189,00;;;
9;Jan 14, 2021;1.836,70;1.850,70;1.836,70;1.850,30;149,00;;;
10;Jan 15, 2021;1.829,40;1.829,40;1.825,00;1.829,30;31,00;;;
11;Jan 19, 2021;1.802,00;1.842,90;1.802,00;1.839,50;13,00;;;
12;Jan 20, 2021;1.847,80;1.866,60;1.844,40;1.865,90;16,00;;;
13;Jan 21, 2021;1.865,30;1.868,00;1.865,30;1.865,30;6,00;;;
14;Jan 22, 2021;1.854,90;1.855,70;1.852,70;1.855,70;8,00;;;
15;Jan 25, 2021;1.864,70;1.864,70;1.851,80;1.854,90;26,00;;;
16;Jan 26, 2021;1.855,80;1.855,80;1.850,70;1.850,70;59,00;;;
17;Jan 27, 2021;1.844,90;1.844,90;1.844,90;1.844,90;19.554,00;;;
18;Jan 28, 2021;1.843,40;1.862,90;1.831,50;1.837,90;27.283,00;;;
19;Jan 29, 2021;1.842,00;1.876,00;1.838,70;1.847,30;1.634,00;;;
20;Feb 01, 2021;1.866,60;1.871,90;1.850,00;1.860,80;1.494,00;;;
21;Feb 02, 2021;1.859,60;1.861,30;1.827,60;1.830,50;1.293,00;;;
22;Feb 03, 2021;1.834,80;1.842,40;1.829,80;1.832,20;1.195,00;;;
23;Feb 04, 2021;1.832,20;1.832,20;1.782,80;1.788,90;2.375,00;;;
24;Feb 05, 2021;1.794,30;1.813,50;1.790,90;1.810,90;1.278,00;;;
25;Feb 08, 2021;1.816,30;1.836,70;1.809,00;1.831,90;254,00;;;
26;Feb 09, 2021;1.841,90;1.843,30;1.830,70;1.835,30;184,00;;;
