Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
01/01/2019,1282.62,1283.13,1283.24,1282.62,,-0.02%
01/02/2019,1284.77,1281.62,1288.69,1278.33,,0.17%
01/03/2019,1293.99,1285.12,1295.27,1284.16,,0.72%
01/04/2019,1284.92,1294.06,1298.51,1276.49,,-0.7%
01/07/2019,1288.67,1285.78,1295.14,1282.29,,0.29%
01/08/2019,1285.35,1289.13,1290.69,1279.2,,-0.26%
01/09/2019,1293.13,1285.36,1293.95,1279.63,,0.61%
01/10/2019,1286.38,1293.11,1297.14,1285.81,,-0.52%
01/11/2019,1288,1286.72,1295.65,1286.25,,0.13%
01/14/2019,1291.73,1287.16,1295.9,1287.16,,0.29%
01/15/2019,1289.31,1291.76,1294.7,1286.37,,-0.19%
01/16/2019,1293.52,1289.13,1295.02,1287.59,,0.33%
01/17/2019,1291.9,1293.99,1295.84,1288.96,,-0.13%
01/18/2019,1281.49,1292.18,1292.86,1280.64,,-0.81%
01/21/2019,1280.28,1281.75,1284.29,1277.06,,-0.09%
01/22/2019,1285.04,1279.73,1285.84,1277.25,,0.37%
01/23/2019,1282.39,1285.34,1286.92,1278.38,,-0.21%
01/24/2019,1280.94,1282.74,1285.15,1276.97,,-0.11%
01/25/2019,1303.22,1280.94,1303.69,1279.39,,1.74%
01/28/2019,1303.53,1303.49,1304.49,1297.26,,0.02%
01/29/2019,1311.93,1303.53,1312.05,1302.12,,0.64%
01/30/2019,1319.91,1312.27,1323.74,1308.81,,0.61%
01/31/2019,1320.94,1320.18,1326.68,1317.55,,0.08%
02/01/2019,1318,1320.95,1323.58,1315.66,,-0.22%
02/04/2019,1311.75,1317.55,1318.8,1308.26,,-0.47%
02/05/2019,1315.01,1311.75,1316.86,1310.3,,0.25%
02/06/2019,1306.22,1315.03,1315.88,1305.38,,-0.67%
02/07/2019,1310.09,1305.87,1311.99,1302.17,,0.3%
02/08/2019,1314.07,1310.14,1315.72,1307.23,,0.3%
02/11/2019,1308.33,1314.22,1314.88,1303.58,,-0.44%
02/12/2019,1310.89,1308.55,1315.12,1306.64,,0.2%
02/13/2019,1306.19,1310.88,1318.19,1304.5,,-0.36%
02/14/2019,1312.55,1306.16,1314.43,1302.63,,0.49%
02/15/2019,1321.41,1312.98,1322.98,1311.16,,0.68%
02/18/2019,1326.9,1321.95,1328.39,1321.11,,0.42%
02/19/2019,1341.16,1325.9,1341.87,1322.33,,1.07%
02/20/2019,1338.49,1341.25,1346.81,1336.63,,-0.2%
02/21/2019,1323.49,1338.89,1341.88,1322.24,,-1.12%
02/22/2019,1327.8,1323.52,1333.17,1321.16,,0.33%
02/25/2019,1327.12,1328.57,1332.59,1325.03,,-0.05%
02/26/2019,1328.96,1327.44,1330.59,1323.61,,0.14%
02/27/2019,1319.88,1328.91,1329.63,1316.51,,-0.68%
02/28/2019,1313.05,1320.18,1327.42,1312.54,,-0.52%
03/01/2019,1293.56,1312.81,1315.33,1290.16,,-1.48%
03/04/2019,1286.66,1293.62,1297.11,1282.75,,-0.53%
03/05/2019,1287.43,1286.67,1289.75,1280.95,,0.06%
03/06/2019,1286.76,1287.62,1291.07,1283.45,,-0.05%
03/07/2019,1285.74,1286.71,1289.06,1281.16,,-0.08%
03/08/2019,1298.39,1285.91,1300.99,1285.29,,0.98%
