Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol.;Perubahan%
01/01/19;1282,62;1283,13;1283,24;1282,62;;-0,02%
02/01/19;1284,77;1281,62;1288,69;1278,33;;0,17%
03/01/19;1293,99;1285,12;1295,27;1284,16;;0,72%
04/01/19;1284,92;1294,06;1298,51;1276,49;;-0,70%
07/01/19;1288,67;1285,78;1295,14;1282,29;;0,29%
08/01/19;1285,35;1289,13;1290,69;1279,20;;-0,26%
09/01/19;1293,13;1285,36;1293,95;1279,63;;0,61%
10/01/19;1286,38;1293,11;1297,14;1285,81;;-0,52%
11/01/19;1288,00;1286,72;1295,65;1286,25;;0,13%
14/01/19;1291,73;1287,16;1295,90;1287,16;;0,29%
15/01/19;1289,31;1291,76;1294,70;1286,37;;-0,19%
16/01/19;1293,52;1289,13;1295,02;1287,59;;0,33%
17/01/19;1291,90;1293,99;1295,84;1288,96;;-0,13%
18/01/19;1281,49;1292,18;1292,86;1280,64;;-0,81%
21/01/19;1280,28;1281,75;1284,29;1277,06;;-0,09%
22/01/19;1285,04;1279,73;1285,84;1277,25;;0,37%
23/01/19;1282,39;1285,34;1286,92;1278,38;;-0,21%
24/01/19;1280,94;1282,74;1285,15;1276,97;;-0,11%
25/01/19;1303,22;1280,94;1303,69;1279,39;;1,74%
28/01/19;1303,53;1303,49;1304,49;1297,26;;0,02%
29/01/19;1311,93;1303,53;1312,05;1302,12;;0,64%
30/01/19;1319,91;1312,27;1323,74;1308,81;;0,61%
31/01/19;1320,94;1320,18;1326,68;1317,55;;0,08%
01/02/19;1318,00;1320,95;1323,58;1315,66;;-0,22%
04/02/19;1311,75;1317,55;1318,80;1308,26;;-0,47%
05/02/19;1315,01;1311,75;1316,86;1310,30;;0,25%
06/02/19;1306,22;1315,03;1315,88;1305,38;;-0,67%
07/02/19;1310,09;1305,87;1311,99;1302,17;;0,30%
08/02/19;1314,07;1310,14;1315,72;1307,23;;0,30%
11/02/19;1308,33;1314,22;1314,88;1303,58;;-0,44%
12/02/19;1310,89;1308,55;1315,12;1306,64;;0,20%
13/02/19;1306,19;1310,88;1318,19;1304,50;;-0,36%
14/02/19;1312,55;1306,16;1314,43;1302,63;;0,49%
15/02/19;1321,41;1312,98;1322,98;1311,16;;0,68%
18/02/19;1326,90;1321,95;1328,39;1321,11;;0,42%
19/02/19;1341,16;1325,90;1341,87;1322,33;;1,07%
20/02/19;1338,49;1341,25;1346,81;1336,63;;-0,20%
21/02/19;1323,49;1338,89;1341,88;1322,24;;-1,12%
22/02/19;1327,80;1323,52;1333,17;1321,16;;0,33%
25/02/19;1327,12;1328,57;1332,59;1325,03;;-0,05%
26/02/19;1328,96;1327,44;1330,59;1323,61;;0,14%
27/02/19;1319,88;1328,91;1329,63;1316,51;;-0,68%
28/02/19;1313,05;1320,18;1327,42;1312,54;;-0,52%
01/03/19;1293,56;1312,81;1315,33;1290,16;;-1,48%
04/03/19;1286,66;1293,62;1297,11;1282,75;;-0,53%
05/03/19;1287,43;1286,67;1289,75;1280,95;;0,06%
06/03/19;1286,76;1287,62;1291,07;1283,45;;-0,05%
07/03/19;1285,74;1286,71;1289,06;1281,16;;-0,08%
08/03/19;1298,39;1285,91;1300,99;1285,29;;0,98%
11/03/19;1294,25;1298,70;1299,27;1290,15;;-0,32%
12/03/19;1302,01;1293,71;1302,19;1292,06;;0,60%
13/03/19;1309,28;1302,01;1311,33;1300,56;;0,56%
14/03/19;1296,28;1309,61;1310,46;1292,75;;-0,99%
15/03/19;1301,38;1295,74;1306,58;1293,66;;0,39%
18/03/19;1303,70;1301,64;1306,78;1298,12;;0,18%
19/03/19;1306,55;1303,45;1311,07;1302,45;;0,22%
20/03/19;1312,48;1305,61;1316,83;1298,50;;0,45%
21/03/19;1309,45;1312,64;1320,47;1303,25;;-0,23%
22/03/19;1313,38;1309,14;1315,08;1306,81;;0,30%
25/03/19;1321,90;1313,05;1324,43;1310,80;;0,65%
26/03/19;1315,51;1321,51;1323,24;1312,51;;-0,48%
27/03/19;1309,87;1315,81;1319,57;1308,07;;-0,43%
28/03/19;1290,55;1309,85;1312,63;1288,70;;-1,47%
29/03/19;1292,15;1290,14;1299,82;1286,60;;0,12%
01/04/19;1287,66;1291,33;1297,04;1286,50;;-0,35%
02/04/19;1293,15;1287,55;1293,15;1285,16;;0,43%
03/04/19;1289,90;1292,21;1294,67;1288,20;;-0,25%
04/04/19;1292,38;1289,95;1294,36;1280,84;;0,19%
05/04/19;1291,70;1292,46;1293,77;1284,46;;-0,05%
08/04/19;1297,41;1291,65;1303,86;1291,35;;0,44%
09/04/19;1304,13;1297,24;1306,34;1296,55;;0,52%
10/04/19;1308,05;1303,96;1310,75;1300,89;;0,30%
11/04/19;1292,60;1307,95;1309,36;1289,45;;-1,18%
12/04/19;1290,40;1292,30;1296,05;1290,11;;-0,17%
15/04/19;1287,88;1290,45;1292,01;1282,21;;-0,20%
16/04/19;1276,57;1287,91;1289,00;1273,10;;-0,88%
17/04/19;1274,14;1276,86;1280,06;1272,93;;-0,19%
18/04/19;1275,39;1273,38;1277,95;1271,02;;0,10%
22/04/19;1274,92;1275,83;1279,96;1273,45;;-0,04%
23/04/19;1272,40;1275,26;1276,66;1266,15;;-0,20%
24/04/19;1275,36;1272,31;1278,74;1268,55;;0,23%
